,authname1,authname2,value
0,Loupos P.,Peng Y.,1
1,Li S.,Loupos P.,1
2,Hao H.,Loupos P.,1
3,Li S.,Peng Y.,1
4,Hao H.,Peng Y.,1
5,Hao H.,Li S.,1
6,Krefeld-Schwalb A.,Scheibehenne B.,1
7,Gordeliy I.,Kronrod A.,1
8,Kronrod A.,Lee J.k.,1
9,Gordeliy I.,Lee J.k.,1
10,Chang H.H.,Mukherjee A.,1
11,Chang H.H.,Chattopadhyay A.,1
12,Chattopadhyay A.,Mukherjee A.,1
13,Dobrucalı Yelkenci B.,Özdağoğlu G.,1
14,Dobrucalı Yelkenci B.,İlter B.,1
15,Özdağoğlu G.,İlter B.,1
16,Chakraborty S.,Kumar A.,1
17,Bala P.K.,Kumar A.,1
18,Bala P.K.,Chakraborty S.,1
19,Abumalloh R.A.,Nilashi M.,1
20,Nilashi M.,Samad S.,1
21,Alrizq M.,Nilashi M.,1
22,Alyami S.,Nilashi M.,1
23,Alghamdi A.,Nilashi M.,1
24,Abumalloh R.A.,Samad S.,1
25,Abumalloh R.A.,Alrizq M.,1
26,Abumalloh R.A.,Alyami S.,1
27,Abumalloh R.A.,Alghamdi A.,1
28,Alrizq M.,Samad S.,1
29,Alyami S.,Samad S.,1
30,Alghamdi A.,Samad S.,1
31,Alrizq M.,Alyami S.,1
32,Alghamdi A.,Alrizq M.,1
33,Alghamdi A.,Alyami S.,1
34,Kang M.,Sun B.,1
35,Sun B.,Zhao S.,1
36,Kang M.,Zhao S.,1
37,Rathee S.,Yu-Buck G.F.,1
38,Gupta A.,Rathee S.,1
39,Gupta A.,Yu-Buck G.F.,1
40,Hildebrand C.,Zierau N.,1
41,Bergner A.,Zierau N.,1
42,Busquet F.,Zierau N.,1
43,Schmitt A.,Zierau N.,1
44,Marco Leimeister J.,Zierau N.,1
45,Bergner A.,Hildebrand C.,2
46,Busquet F.,Hildebrand C.,1
47,Hildebrand C.,Schmitt A.,1
48,Hildebrand C.,Marco Leimeister J.,1
49,Bergner A.,Busquet F.,1
50,Bergner A.,Schmitt A.,1
51,Bergner A.,Marco Leimeister J.,1
52,Busquet F.,Schmitt A.,1
53,Busquet F.,Marco Leimeister J.,1
54,Marco Leimeister J.,Schmitt A.,1
55,Manley A.,Seock Y.K.,1
56,Manley A.,Shin J.,1
57,Seock Y.K.,Shin J.,1
58,Jalali N.,Moon S.,1
59,Jalali N.,Kim M.Y.,1
60,Kim M.Y.,Moon S.,1
61,Burkov I.,Gorgadze A.,1
62,Burkov I.,Trabskaia I.,1
63,Gorgadze A.,Trabskaia I.,1
64,Li M.,Zhao L.,1
65,Li M.,Srinivas S.,1
66,Srinivas S.,Zhao L.,1
67,Khan F.M.,Khan S.A.,1
68,Khan F.M.,Shamim K.,1
69,Gupta Y.,Khan F.M.,1
70,Khan F.M.,Sherwani S.I.,1
71,Khan S.A.,Shamim K.,1
72,Gupta Y.,Khan S.A.,1
73,Khan S.A.,Sherwani S.I.,1
74,Gupta Y.,Shamim K.,1
75,Shamim K.,Sherwani S.I.,1
76,Gupta Y.,Sherwani S.I.,1
77,Rose R.L.,Smith L.W.,1
78,Smith L.W.,Zablah A.R.,1
79,McCullough H.,Smith L.W.,1
80,Saljoughian M.,Smith L.W.,1
81,Rose R.L.,Zablah A.R.,1
82,McCullough H.,Rose R.L.,1
83,Rose R.L.,Saljoughian M.,1
84,McCullough H.,Zablah A.R.,1
85,Saljoughian M.,Zablah A.R.,1
86,McCullough H.,Saljoughian M.,1
87,Hannan A.,Hussain A.,1
88,Hussain A.,Shafiq M.,1
89,Hannan A.,Shafiq M.,1
90,Ryu K.,Ryu K.,1
91,Luangrath A.W.,Xu Y.,1
92,Luangrath A.W.,Wang T.,1
93,Wang T.,Xu Y.,1
94,Kim J.M.,Ma H.,1
95,Kim J.M.,Park S.,1
96,Ma H.,Park S.,1
97,Çallı L.,Çallı L.,1
98,Kim W.,Son Y.,1
99,Grewal L.,Herhausen D.,1
100,Cummings K.H.,Herhausen D.,1
101,Herhausen D.,Roggeveen A.L.,1
102,Herhausen D.,Villarroel Ordenes F.,1
103,Grewal D.,Herhausen D.,2
104,Cummings K.H.,Grewal L.,1
105,Grewal L.,Roggeveen A.L.,1
106,Grewal L.,Villarroel Ordenes F.,1
107,Grewal D.,Grewal L.,1
108,Cummings K.H.,Roggeveen A.L.,1
109,Cummings K.H.,Villarroel Ordenes F.,1
110,Cummings K.H.,Grewal D.,1
111,Roggeveen A.L.,Villarroel Ordenes F.,1
112,Grewal D.,Roggeveen A.L.,1
113,Grewal D.,Villarroel Ordenes F.,1
114,Park J.,Yang D.,1
115,Kim H.Y.,Park J.,1
116,Kim H.Y.,Yang D.,1
